"cancer","endpoint","score","n","events","HR_per_SD","CI_low","CI_high","p_cox","padj_by_endpoint_score"
"LUSC","DFI","MDR_injury",358,80,0.836932726953401,0.675023577546783,1.03767692380658,0.104631500219789,0.570408508769446
"ACC","PFI","MDR_injury",77,40,1.28351725715007,0.944624396872125,1.74399110890743,0.110542572566463,0.264353542981275
"CESC","PFI","MDR_apc_ifn",296,73,0.837013656504028,0.671990172901865,1.04256265854137,0.112299447723877,0.232620284570888
"TGCT","DFI","MDR_injury",108,30,1.34929227065778,0.928289681102703,1.96123006505272,0.11641540099214,0.570408508769446
"LUAD","PFI","MDR_injury",621,269,1.09240800415761,0.977930641838631,1.22028618032048,0.117618284646029,0.264353542981275
"ESCA","DSS","MDR_resolution",196,52,1.22724292348803,0.949438973466476,1.586331755218,0.117877071247465,0.372525592516851
"HNSC","DFI","MDR_injury",135,29,1.37961542277417,0.921516010132992,2.06544291561647,0.118056731447867,0.570408508769446
"BRCA","PFI","MDR_injury",1215,173,1.13272008797212,0.968659163708004,1.32456786222313,0.118503312370916,0.264353542981275
"MESO","DSS","MDR_resolution",65,43,1.28794141094696,0.93667890896901,1.77093031790144,0.119383034037925,0.372525592516851
"LUAD","DSS","MDR_apc_ifn",582,155,0.888700439986233,0.765729036910198,1.03142029877646,0.120463376335025,0.258935839651425
"LUAD","DSS","MDR_injury",582,155,1.12095954655935,0.968679482795754,1.29717860999384,0.12532554684157,0.18639817005779
"BRCA","DSS","MDR_injury",1185,107,1.16973077688133,0.956355503563188,1.43071283145807,0.127089661403039,0.18639817005779
"ESCA","OS","MDR_resolution",200,83,1.17154385497221,0.954793998626781,1.43749856628461,0.129321972013793,0.387965916041378
"BRCA","DSS","MDR_apc_ifn",1185,107,0.868375505995881,0.723562641637682,1.04217102434539,0.129467919825713,0.258935839651425
"PAAD","DFI","MDR_axis",72,24,1.3310336528118,0.912921642587339,1.94063816900695,0.137173650785741,0.338192364599481
"COAD","DFI","MDR_apc_ifn",121,17,0.666548356681522,0.39001345037794,1.13915740947986,0.137946303479716,0.39413229565633
"TGCT","PFI","MDR_injury",137,38,1.29129362959186,0.918105532428609,1.81617382635061,0.141835505653973,0.293802118854658
"LGG","PFI","MDR_axis",516,201,1.11403967121448,0.964245950303444,1.28710355345449,0.14270657442091,0.413849065820639
"PAAD","DFI","MDR_resolution",72,24,1.41591283288936,0.888097147403179,2.25742099972159,0.143930741095584,0.640697603675843
"HNSC","DFI","MDR_axis",135,29,0.760394923303608,0.521212092615043,1.10933811317564,0.155175493046851,0.338192364599481
"COAD","DFI","MDR_resolution",121,17,0.695271460252645,0.418678182403392,1.15459181719694,0.160174400918961,0.640697603675843
"HNSC","DSS","MDR_injury",561,160,1.12710040597933,0.951211881733312,1.33551246526054,0.166922964073098,0.22951907560051
"COAD","DFI","MDR_axis",121,17,1.36870161377908,0.875950394048692,2.13864177730744,0.16810205424627,0.338192364599481
"LIHC","OS","MDR_apc_ifn",422,167,0.890099121208211,0.753101904516336,1.05201758331026,0.17216233266206,0.321882673992098
"BLCA","DSS","MDR_resolution",412,129,1.13352015332275,0.946796994945218,1.35706803554354,0.172357329006478,0.372525592516851
"UCEC","OS","MDR_apc_ifn",187,37,0.791641633804387,0.565304015918345,1.10860078599371,0.173862552413284,0.321882673992098
"BRCA","OS","MDR_apc_ifn",1215,202,0.911200320784992,0.796784033332797,1.04204651431799,0.174353115079053,0.321882673992098
"ESCA","DFI","MDR_axis",96,23,0.763065012523513,0.515896618403228,1.12865289782226,0.175742582919647,0.338192364599481
"OV","DFI","MDR_axis",210,149,1.12340526413511,0.949192411016136,1.32959279155576,0.175906739211751,0.338192364599481
"HNSC","PFI","MDR_apc_ifn",591,231,0.915354100896944,0.805313857354657,1.04043053820178,0.175913801791886,0.340100016797646
"CESC","DSS","MDR_resolution",292,56,0.835892200907256,0.644732514073615,1.08372969609192,0.176044574871743,0.372525592516851
